row,RecordID,Publication,Pub,Taxon,Class,Order,Family,Species,SpeciesSynonyms,animal,phylo,Common.name,Genus,Species.name,Body.mass,Log.Mb,Primary.diet,Diet.details,Foraging.guild,Nesting.guild,Volent,n.captured,method.of.capture,Measure,Ecosystem,Tree.species,Cause.of.decline,Decline.cause,Decline.permanence,Decline.scale,Decline.speed,Decline.severity,Location,Temporal.or.Spatial,Temporal.y,Beta,r,t,F,p,chi,Decline.mean1,sd1,se1,95%.CI1,n1,Intact.mean2,sd2,se2,95%.CI2,n2,yi,log_yi,vi,Calcualted_from
21,21,"{Nichols, 1985 #165}","Nichols, 1985 ",Vertebrate,Reptile,Squamata,Scincidae,Egernia_napoleonis,Egernia_napoleonis,Egernia_napoleonis,Egernia_napoleonis,,Egernia,napoleonis, SVL <15cm,,I,I,GRO,,,16,Trapping,,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,8,0,,,,2,16,,,,2,-2.0000000000,-0.4771212547,1.5000000000,chi
22,22,"{Nichols, 1984 #29888}","Nichols, 1984 ",Vertebrate,Bird,Passeriformes,Rhipiduridae,Rhipidura fuliginosa,Rhipidura_fuliginosa,Rhipidura_fuliginosa,Rhipidura_fuliginosa,"Fantail, Grey",Rhipidura,albiscapa,8.2,-0.04,I,I,AER,TREE,,11,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,5.5,0,,,,2,11,,,,2,-2.0000000000,-0.4771212547,0.0000000010,chi
23,23,"{Nichols, 1984 #29888}","Nichols, 1984 ",Vertebrate,Bird,Passeriformes,Meliphagidae,Melithreptus lunatus,Melithreptus_lunatus,Melithreptus_lunatus,Melithreptus_lunatus,"Honeyeater, white-naped",Melithreptus,chloropsis,,,I,I,CAN,TREE,,10,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,5,0,,,,2,10,,,,2,-2.0000000000,-0.4771212547,0.0000000010,chi
24,24,"{Lance, 2000 #1165}","Lance, 2000 ",Vertebrate,Bird,Passeriformes,Fringillidae,Loxia leucoptera,Loxia_leucoptera,Loxia_leucoptera,Loxia_leucoptera,White-winged Crossbill ,Loxia,leucoptera,,,S,S,CAN,TREE,,11,,,White and lutz spruce,Picea glauca/P.lutzii,Spruce beetle (Dendroctonus rufipennis),Insect,1,1,1,3,"Alaska, USA",0,,,,,,,5.55210295,0,,,,1,11,,,,1,-2.0000000000,-0.4771212547,3.0000000000,chi
25,25,"{Adams, 1991 #1047}","Adams, 1991 ",Vertebrate,Bird,Passeriformes,Parulidae,Setophaga virens,Dendroica_virens,Dendroica_virens,Dendroica_virens,"Warbler, Black-throated green",Setophaga,virens,,,I,I,CAN,TREE,,14.97619048,,Density of territories,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"North Carolina, USA",1,26,,,,,,7.488095238,0,,,,1,14.97619048,,,,1,-2.0000000000,-0.4771212547,3.0000000000,chi
26,26,"{Roberts, 2019 #30945}","Roberts, 2018",Vertebrate,Bird,Passeriformes,Tyrannidae,Contopus cooperi,Contopus_cooperi,Contopus_cooperi,Contopus_cooperi,"Flycatcher, Olive-sided ",Contopus,cooperi,,,I,I,AER,TREE,,,,,Mixed conifer forest,Ponderosa pine (Pinus ponderosa) predominantly,Drought followed by bark beetles Dendroctonus spp.,Abiotic,1,0.5,1,2.5,"California, USA",1,7,,,,,,,,,,,,,,,,,-1.9616423448,-0.4715326109,2.4919013596,off graph
27,27,"{Tingley, 2002 #795}","Tingley, 2002 ",Vertebrate,Bird,Passeriformes,Parulidae,Setophaga virens,Dendroica_virens,Dendroica_virens,Dendroica_virens,"Warbler, Black-throated green",Setophaga,virens,,,I,I,CAN,TREE,,58,Observation,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,"Connecticut, USA",0,,,-0.69,,,**,18.03897674,6,,,,1,52,,,,1,-1.9065793600,-0.4633821852,0.0096306804,r
28,28,"{Postle, 1986 #32056}","Postle, 1986 ",Arthropod,Insecta,Coleoptera,Coleoptera,,Coleoptera,Coleoptera,Coleoptera,Beetles,Beetles,Beetles,,,O,O,GRO,,,2128.816928,Litter/soil sampling,Abundance,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,,8.172222222,5.76921307,,,9,30.86666667,15.4812992,,,9,-1.8498742150,-0.4548256920,0.3172787392,x and SD
29,29,"{Canterbury, 1997 #836}","Canterbury, 1997 ",Vertebrate,Bird,Passeriformes,Turdidae,Catharus fuscescens,Catharus_fuscescens,Catharus_fuscescens,Catharus_fuscescens,Veery,Catharus,fuscescens,,,I,I,GRO,LOW,,38,Observation,Territories (number per 10ha),Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Minnesota, USA",1,11,,,,,,,0.933333333,0.808290377,,,3,4.133333333,1.795364401,,,3,-1.8339006637,-0.4523846229,0.9469326370,x and SD
30,30,"{Bull, 1983 #7591}","Bull, 1983 ",Vertebrate,Bird,Passeriformes,Certhiidae,Certhia americana,Certhia_americana,Certhia_americana,Certhia_americana,Brown creeper,Certhia,americana,,,I,I,BAR,TREE,,10,observation,Abundance,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"Oregon, USA",0,,,-0.670820393,,,,,,,,,,,,,,,-1.8090680662,-0.4485622627,0.0672602252,r
31,31,"{Bull, 1983 #7591}","Bull, 1983 ",Vertebrate,Bird,Passeriformes,Paridae,Poecile gambeli,Parus_gambeli,Parus_gambeli,Parus_gambeli,"Chickadee, Mountain",Parus,gambeli,,,I,I,CAN,CAV,,303,observation,Abundance,Lodgepole pine forest,Pinus contortus,Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"Oregon, USA",0,,,-0.658079105,,,,,,,,,,,,,,,-1.7480049301,-0.4390175075,0.0021285560,r
32,32,"{Hartmann, 1989 #1123}","Hartmann, 1989 ",Arthropod,Arachnida,Araneae,Araneae,,Araneae,Araneae,Araneae,Spiders,Spiders,Spiders,,,I,I,LOW,,,1565,Density,Abundance,Spruce,Picea abies,Multiple causes,Abiotic,1,0.5,1,2.5,"North Bavaria, Germany",0,,,,,,,,106,39.59166579,,,5,207,66.48308055,,,5,-1.6663209506,-0.4259124252,0.5388312755,x and SD
33,33,"{Swei, 2011 #29918}","Swei, 2011 ",Vertebrate,Mammal,Rodentia,Cricetidae,Neotoma fuscipes,Neotoma_fuscipes,Neotoma_fuscipes,Neotoma_fuscipes,Dusky-footed woodrat ,Neotoma,fuscipes,13,0.05,S,S,GRO,GRO,N,701,Trapping,,Oak forests,California bay (Umbellaria californica) and Quercus spp.,Phytophthora ramorum,Pathogen,1,0.5,1,2.5,"California, USA",0,,,-0.64,,,,,,,,,,,,,,,-1.6658534601,-0.4258362729,0.0009959206,r
34,34,"{Vindstad, 2015 #29916}","Vindstad, 2015 ",Vertebrate,Bird,Passeriformes,Phylloscopidae,Phylloscopus trochilus,Phylloscopus_trochilus,Phylloscopus_trochilus,Phylloscopus_trochilus,"Warbler, Willow",Phylloscopus,trochilus,,,I,I,CAN,LOW,,146,,predicted abundances provided by the Bayesian model ,Mountain Birch,Betula pubescens czerepanovii,Geometrid moth (Lepidoptera: Geometridae),Insect,0,0.5,1,1.5,northern Norway,0,,,,,,,,2.38,1.09,,,4,5.18,1.73,,,6,-1.6608271064,-0.4250166562,0.5545840005,x and SD
35,35,"{Kendeigh, 1982 #832}","Kendeigh, 1982 ",Vertebrate,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Accipiter_cooperii,Accipiter_cooperii,Accipiter_cooperii,Cooper's hawk,Accipiter,cooperii,,,O,V,AER,TREE,,11,Observation over 50 years,Breeding pairs,Dutch Elm,Ulmus americana,Dutch Elm Disease (Ophiostoma ulmi+),Pathogen,0.5,1,1,2.5,"Illinois, USA",1,49,,,,,,,0,0,,,16,0.611111111,0.501631326,,,18,-1.6318872468,-0.4202672796,0.1572181436,x and SD
36,36,"{Nichols, 1984 #29888}","Nichols, 1984 ",Vertebrate,Bird,Psittaciformes,Psittaculidae,Platycercus icterotis,Platycercus_icterotis,Platycercus_icterotis,Platycercus_icterotis,Western Rosella ,Platycercus,icterotis,,,S,S,GRO,CAV,,16,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,6.125,1,,,,2,15,,,,2,-1.5800000000,-0.4116197060,0.0000000010,chi
37,37,"{Hartmann, 1989 #1123}","Hartmann, 1989 ",Arthropod,Insecta,Diptera,Diptera,,Diptera,Diptera,Diptera,Flies,Flies,Flies,,,D,D,GRO,,,1000,Emergence rate,Abundance,Spruce,Picea abies,Multiple causes,Abiotic,1,0.5,1,2.5,"North Bavaria, Germany",0,,,,,,,,,,,,5,,,,,5,-1.5623649305,-0.4086409818,0.5220492088,t
38,38,"{Hartmann, 1989 #1123}","Hartmann, 1989 ",Arthropod,Myriapoda,Chilopoda,Lithobiidae,,Lithobiidae,Lithobiidae,Lithobiidae,Centipedes,Centipedes,Centipedes,,,I,I,GRO,,,145,Density,Abundance,Spruce,Picea abies,Multiple causes,Abiotic,1,0.5,1,2.5,"North Bavaria, Germany",0,,,,,,,,7.4,5.856620186,,,5,27,15.85349593,,,4,-1.5428712737,-0.4053243757,0.5822473204,x and SD
39,39,"{Alsop, 1991 #1048}","Alsop, 1991 ",Vertebrate,Bird,Passeriformes,Parulidae,Setophaga virens,Dendroica_virens,Dendroica_virens,Dendroica_virens,"Warbler, Black-throated green",Setophaga,virens,,,I,I,CAN,TREE,,13,Observation,,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"Tennessee, USA",1,18,,,,,0.03098405,4.653846154,1,,,,1,12,,,,1,-1.4934573133,-0.3968019377,2.5576036866,chi
40,40,"{Postle, 1986 #32056}","Postle, 1986 ",Arthropod,Myriapoda,Pauropoda,Pauropoda,,Pauropoda,Pauropoda,Pauropoda,Pauropod,Pauropod,Pauropod,,,D,D,GRO,,,521.2299719,Litter/soil sampling,Abundance,Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,,1.266666667,1.11467484,,,9,6.311111111,4.524777465,,,9,-1.4577734759,-0.3905418530,0.2812528752,x and SD
41,41,"{Davis, 2014 #31982}","Davis, 2014 ",Vertebrate,Bird,Passeriformes,Meliphagidae,Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,"Spinebill, Western",Acanthorhynchus,superciliosus,,,N,N,CAN,TREE,,45,Observation,,Banksia woodland,Banksia spp.,Phytophthora cinnamomi,Pathogen,1,0.5,1,2.5,sw Western Australia,0,,-3.91,,,,,,0.18,0.158745079,0.06,,7,0.73,0.502692749,0.19,,7,-1.3809637171,-0.3767527774,0.3538235996,x and SD
42,42,"{Campeotto, 1987 #29886}","Campeotto, 1987 ",Vertebrate,Bird,Passeriformes,Meliphagidae,Acanthorhynchus superciliosus,Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,"Spinebill, Western",Acanthorhynchus,superciliosus,,,N,N,CAN,TREE,,10,,Densities (in Birds per Hectare),Jarrah forest,Eucalyptus marginata,Phytophthora cinnamomi,Pathogen,1,0,0,1,sw Western Australia,0,,,,,,,3.2,1,,,,2,9,,,,2,-1.3700000000,-0.3747483460,0.0000000010,chi
43,43,"{Roberts, 2019 #30945}","Roberts, 2018",Vertebrate,Bird,Passeriformes,Fringillidae,Spinus pinus,Carduelis_pinus,Carduelis_pinus,Carduelis_pinus,Pine siskin ,Spinus,pinus,,,S,S,CAN,TREE,,,,,Mixed conifer forest,Ponderosa pine (Pinus ponderosa) predominantly,Drought followed by bark beetles Dendroctonus spp.,Abiotic,1,0.5,1,2.5,"California, USA",1,7,,,,,,,,,,,,,,,,,-1.3271425616,-0.3668229891,0.1298613808,off graph
44,44,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Passeriformes,Icteridae,Euphagus cyanocephalus,Euphagus_cyanocephalus,Euphagus_cyanocephalus,Euphagus_cyanocephalus,"blackbird, Brewer's",Euphagus,cyanocephalus,,,S,,GRO,LOW,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.55,-4.36,,,,,,,,,,,,,,-1.3171055482,-0.3649458171,0.0061196041,r
45,45,"{Drever, 2007 #32775}","Drever, 2007 ",Vertebrate,Bird,Passeriformes,Icteridae,Euphagus carolinus,Euphagus_carolinus,Euphagus_carolinus,Euphagus_carolinus,"blackbird, rusty",Euphagus,carolinus,,,I,,GRO,TREE,,,,,Mixed conifer/deciduous forest,Quaking aspen (Populus tremuloides); Douglas-fir (Pseudotsuga menziesii),Mountain pine beetle (Dendroctonus ponderosae),Insect,1,1,1,3,"British Columbia, Canada",1,10,,-0.55,-2.38,,,,,,,,,,,,,,-1.3171055482,-0.3649458171,0.0061196041,r
46,46,"{Simmons, 2011 #29913}","Simmons, 2011 ",Vertebrate,Reptile,Squamata,Agamidae,Rankinia_adelaidensis,Rankinia_adelaidensis,Rankinia_adelaidensis,Rankinia_adelaidensis,,Rankinia,adelaidensis,,,I,I,GRO,,,23,Trapping,,Banksia woodland,Banksia spp.,Phytophthora cinnamomi,Pathogen,1,0.5,1,2.5,sw Western Australia,0,,,,,,,,0.2,0.447213595,,,5,4.4,4.098780306,,,5,-1.3004236942,-0.3618078321,0.4845550892,x and SD
47,47,"{Newell, 1993 #177}","Newell, 1993 ",Vertebrate,Mammal,Dasyuromorphia,Dasyuridae ,Antechinus stuartii,Antechinus_stuartii,Antechinus_stuartii,Antechinus_stuartii,Brown antechinus,Antechinus,stuartii,23,0.13,I,I,GRO,GRO,N,245,Trapping,,Eucalypt woodland,Eucalyptus spp.,Phytophthora cinnamomi,Pathogen,1,0,0,1,"Victoria, Australia",0,,,,,,,,7.1625,4.828285798,,,10,16.23076923,7.779794798,,,15,-1.2933947544,-0.3604788148,0.2001240665,x and SD
48,48,"{Ingwell, 2012 #32782}","Ingwell, 2012 ",Arthropod,Myriapoda,Chilopoda,Geophilidae,,Geophilidae,Geophilidae,Geophilidae,Centipedes,Centipedes,Centipedes,,,I,I,GRO,,,217,,,Eastern hemlock,Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae) ,Insect,1,1,1,3,Southern New England,0,,,,,,,62.73041475,26,3105,,,4,191,,,,4,-1.2753486276,-0.3570479484,0.0000000010,chi
49,49,"{Rabenold, 1998 #810}","Rabenold, 1998 ",Vertebrate,Bird,Passeriformes,Paridae,Poecile atricapillus,Parus_atricapillus,Parus_atricapillus,Parus_atricapillus,"Chickadee, Black-capped ",Parus,atricapillus,,,I,I,CAN,CAV,,28.5,Number of male territories,,Fraser fir,Abies fraseri,Balsam woolly adelgid (Adelges piceae),Insect,1,1,1,3,"n Carolina-Tennessee border, USA",1,21,,,,,,8.109649123,3.5,,,,1,25,,,,1,-1.2613008202,-0.3543583403,2.3977199398,chi
50,50,"{Matsuoka, 2001 #833}","Matsuoka, 2001 ",Vertebrate,Bird,Passeriformes,Parulidae,Parkesia noveboracensis,Seiurus_noveboracensis,Seiurus_noveboracensis,Seiurus_noveboracensis,Northern Waterthrush ,Parkesia,noveboracensis,,,I,I,GRO,LOW,,20,,densities (individuals/ha),White and lutz spruce,Picea glauca/P.lutzii,Spruce beetle (Dendroctonus rufipennis),Insect,1,1,1,3,"Alaska, USA",0,,,,,,,,0.01,0.02,0.01,5,4,0.04,0.02236068,0.01,15,5,-1.2462566061,-0.3514593673,0.5362864182,x and SD
